codigo_unidad;nombre_unidad;codigo_organismo;nombre_organismo;region;comuna;oc_convenio_marco
1000813;"Jef Adm y Logística - Campo Militar ""Austral""";111870;DIVISION LOGISTICA DEL EJERCITO;Región de Magallanes y de la Antártica;Punta Arenas;1
1001;Dirección de Vialidad - IX Región - Dirección Regional;7248;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Región de la Araucanía;Temuco;4
1002;Dirección de Vialidad - X Región - Dirección Regional;7248;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Región de los Lagos;Puerto Montt;7
1002584;Dirección de Educación Pública;1593363;DIRECCION DE EDUCACION PUBLICA;Región Metropolitana de Santiago;Santiago;8
1002588;SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA;1593366;SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA;Región de Coquimbo;Coquimbo;2
1002772;INSUMOS CLINICOS;7383;SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA;;;35
1003;Dirección de Vialidad - XI Región - Dirección Regional;7248;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Región Aysén del General Carlos Ibáñez del Campo;Coyhaique;6
1003473;INSUMOS CLINICOS;7452;SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO;Región del Maule;Curicó;16
1005498;COMISION PARA EL MERCADO FINANCIERO;7016;COMISION PARA EL MERCADO FINANCIERO;Región Metropolitana de Santiago;Santiago Centro;2
1006;Dirección de Vialidad - XII Región - Dirección Regional;7248;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Región de Magallanes y de la Antártica;Punta Arenas;3
1007793;Rectoría;1598310;CENTRO DE FORMACION TECNICA ESTATAL DE LA REGION DE LOS LAGOS;Región de los Lagos;Llanquihue;2
1009566;DIVLOG - Jefatura Adm. y Logística;111870;DIVISION LOGISTICA DEL EJERCITO;Región Metropolitana de Santiago;Estación Central;5
1011183;SAG - ÑUBLE;6919;SERVICIO AGRICOLA Y GANADERO;Región del Ñuble;Chillán;3
1013609;"Jef Adm. y Logistica - Campo Militar ""Antofagasta""";111870;DIVISION LOGISTICA DEL EJERCITO;Región de Antofagasta;Antofagasta;4
1016;Dirección de Planeamiento - MOP;7067;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Región Metropolitana de Santiago;Santiago Centro;4
1016414;CNTV;1606467;CONSEJO NACIONAL DE TELEVISION;Región Metropolitana de Santiago;Providencia;3
1018;Dirección de Arquitectura - MOP;7245;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Región Metropolitana de Santiago;Santiago Centro;1
1019;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO;7247;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Región Metropolitana de Santiago;Santiago;1
1020;MOP Subsecretaría ;7249;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Región Metropolitana de Santiago;Santiago;1
1021609;CONVENIO DE SUMINISTRO;7440;SERVICIO DE SALUD HOSPITAL DE RENGO;Región del Libertador General Bernardo O´Higgins;Rengo;1
1024;Dirección de Vialidad - I Región - Dirección Regional;7248;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Región de Tarapacá;Iquique;2
1028;Dirección de Vialidad - V Región - Dirección Regional;7248;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Región de Valparaíso;Valparaíso;2
